,teamId,teamName,name,id,battingStyle,bowlingStyle,ROWHEADER,Matches,Innings,Runs,Balls,Highest,Average,SR,Not Out,Fours,Sixes,Ducks,50s,100s,200s,300s,400s
0,2,India,Shubman Gill,11808,Right-hand bat,Right-arm offbreak,Test,34,63,2478,3951,269,42.72,62.72,5,273,43,5,7,8,1,0,0
1,2,India,Shubman Gill,11808,Right-hand bat,Right-arm offbreak,ODI,55,55,2775,2787,208,59.04,99.57,8,314,59,1,15,8,1,0,0
2,2,India,Shubman Gill,11808,Right-hand bat,Right-arm offbreak,T20,21,21,578,415,126,30.42,139.28,2,60,22,1,3,1,0,0,0
3,2,India,Shubman Gill,11808,Right-hand bat,Right-arm offbreak,IPL,118,115,3866,2787,129,39.45,138.72,17,372,119,4,26,4,0,0,0
4,2,India,Yashasvi Jaiswal,13940,Left-hand bat,Right-arm legbreak,Test,21,40,2018,3037,214,53.11,66.45,2,243,40,3,11,5,2,0,0
5,2,India,Yashasvi Jaiswal,13940,Left-hand bat,Right-arm legbreak,ODI,1,1,15,22,15,15.0,68.19,0,3,0,0,0,0,0,0,0
6,2,India,Yashasvi Jaiswal,13940,Left-hand bat,Right-arm legbreak,T20,23,22,723,440,100,36.15,164.32,2,82,38,2,5,1,0,0,0
7,2,India,Yashasvi Jaiswal,13940,Left-hand bat,Right-arm legbreak,IPL,66,66,2166,1417,124,34.38,152.86,3,258,92,4,15,2,0,0,0
8,2,India,Sai Sudharsan,13866,Left-hand bat,Right-arm legbreak,Test,1,2,30,52,30,15.0,57.7,0,4,0,1,0,0,0,0,0
9,2,India,Sai Sudharsan,13866,Left-hand bat,Right-arm legbreak,ODI,3,3,127,142,62,63.5,89.44,1,17,1,0,2,0,0,0,0
10,2,India,Sai Sudharsan,13866,Left-hand bat,Right-arm legbreak,T20,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
11,2,India,Sai Sudharsan,13866,Left-hand bat,Right-arm legbreak,IPL,40,40,1793,1229,108,49.81,145.9,4,183,52,0,12,2,0,0,0
12,2,India,Rohit Sharma,576,Right-hand bat,Right-arm offbreak,Test,67,116,4301,7538,212,40.58,57.06,10,473,88,6,18,12,1,0,0
13,2,India,Rohit Sharma,576,Right-hand bat,Right-arm offbreak,ODI,273,265,11168,12034,264,48.77,92.81,36,1044,344,16,58,32,3,0,0
14,2,India,Rohit Sharma,576,Right-hand bat,Right-arm offbreak,T20,159,151,4231,3003,121,31.34,140.9,16,383,205,12,32,5,0,0,0
15,2,India,Rohit Sharma,576,Right-hand bat,Right-arm offbreak,IPL,272,267,7046,5334,109,29.73,132.1,30,640,302,18,47,2,0,0,0
16,2,India,Virat Kohli,1413,Right-hand bat,Right-arm medium,Test,123,210,9230,16608,254,46.85,55.58,13,1027,30,15,31,30,7,0,0
17,2,India,Virat Kohli,1413,Right-hand bat,Right-arm medium,ODI,302,290,14181,15192,183,57.88,93.35,45,1325,153,16,74,51,0,0,0
18,2,India,Virat Kohli,1413,Right-hand bat,Right-arm medium,T20,125,117,4188,3056,122,48.7,137.05,31,369,124,7,38,1,0,0,0
19,2,India,Virat Kohli,1413,Right-hand bat,Right-arm medium,IPL,267,259,8661,6519,113,39.55,132.86,40,771,291,10,63,8,0,0,0
20,2,India,Suryakumar Yadav,7915,Right-hand bat,Right-arm offbreak,Test,1,1,8,20,8,8.0,40.0,0,1,0,0,0,0,0,0,0
21,2,India,Suryakumar Yadav,7915,Right-hand bat,Right-arm offbreak,ODI,37,35,773,736,72,25.77,105.03,5,80,19,3,4,0,0,0,0
22,2,India,Suryakumar Yadav,7915,Right-hand bat,Right-arm offbreak,T20,83,79,2598,1555,117,38.21,167.08,11,237,146,5,21,4,0,0,0
23,2,India,Suryakumar Yadav,7915,Right-hand bat,Right-arm offbreak,IPL,166,151,4311,2900,103,35.05,148.66,28,454,168,10,29,2,0,0,0
24,2,India,Shreyas Iyer,9428,Right-hand bat,Right-arm legbreak,Test,14,24,811,1287,105,36.86,63.02,2,94,16,2,5,1,0,0,0
25,2,India,Shreyas Iyer,9428,Right-hand bat,Right-arm legbreak,ODI,70,65,2845,2845,128,48.22,100.0,6,262,72,1,22,5,0,0,0
26,2,India,Shreyas Iyer,9428,Right-hand bat,Right-arm legbreak,T20,51,47,1104,811,74,30.67,136.13,11,90,44,4,8,0,0,0,0
27,2,India,Shreyas Iyer,9428,Right-hand bat,Right-arm legbreak,IPL,132,132,3731,2798,97,34.23,133.35,23,314,152,7,27,0,0,0,0
28,2,India,Rinku Singh,10896,Left-hand bat,Right-arm offbreak,Test,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,2,India,Rinku Singh,10896,Left-hand bat,Right-arm offbreak,ODI,2,2,55,41,38,27.5,134.15,0,5,3,0,0,0,0,0,0
30,2,India,Rinku Singh,10896,Left-hand bat,Right-arm offbreak,T20,33,24,546,339,69,42.0,161.07,11,45,31,1,3,0,0,0,0
31,2,India,Rinku Singh,10896,Left-hand bat,Right-arm offbreak,IPL,58,51,1099,757,67,30.53,145.18,15,87,56,0,4,0,0,0,0
32,2,India,Tilak Varma,14504,Left-hand bat,Right-arm offbreak,Test,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,2,India,Tilak Varma,14504,Left-hand bat,Right-arm offbreak,ODI,4,4,68,119,52,22.67,57.15,1,6,1,0,1,0,0,0,0
34,2,India,Tilak Varma,14504,Left-hand bat,Right-arm offbreak,T20,25,24,749,483,120,49.93,155.08,9,61,43,3,3,2,0,0,0
35,2,India,Tilak Varma,14504,Left-hand bat,Right-arm offbreak,IPL,54,51,1499,1038,84,37.48,144.42,11,113,74,1,8,0,0,0,0
36,2,India,Ruturaj Gaikwad,11813,Right-hand bat,Right-arm offbreak,Test,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
37,2,India,Ruturaj Gaikwad,11813,Right-hand bat,Right-arm offbreak,ODI,6,6,115,157,71,19.17,73.25,0,16,0,0,1,0,0,0,0
38,2,India,Ruturaj Gaikwad,11813,Right-hand bat,Right-arm offbreak,T20,23,20,633,441,123,39.56,143.54,4,65,24,1,4,1,0,0,0
39,2,India,Ruturaj Gaikwad,11813,Right-hand bat,Right-arm offbreak,IPL,71,70,2502,1820,108,40.35,137.48,8,231,95,7,20,2,0,0,0
40,2,India,Rajat Patidar,10636,Right-hand bat,Right-arm offbreak,Test,3,6,63,164,32,10.5,38.42,0,9,0,2,0,0,0,0,0
41,2,India,Rajat Patidar,10636,Right-hand bat,Right-arm offbreak,ODI,1,1,22,16,22,22.0,137.5,0,3,1,0,0,0,0,0,0
42,2,India,Rajat Patidar,10636,Right-hand bat,Right-arm offbreak,T20,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
43,2,India,Rajat Patidar,10636,Right-hand bat,Right-arm offbreak,IPL,42,38,1111,720,112,30.86,154.31,2,76,68,1,9,1,0,0,0
44,2,India,Sarfaraz Khan,9429,Right-hand bat,Right-arm legbreak,Test,6,11,371,495,150,37.1,74.95,1,44,8,3,3,1,0,0,0
45,2,India,Sarfaraz Khan,9429,Right-hand bat,Right-arm legbreak,ODI,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
46,2,India,Sarfaraz Khan,9429,Right-hand bat,Right-arm legbreak,T20,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
47,2,India,Sarfaraz Khan,9429,Right-hand bat,Right-arm legbreak,IPL,50,37,585,448,67,22.5,130.59,11,63,14,3,1,0,0,0,0
48,2,India,Abhimanyu Easwaran,9716,Right-hand bat,Right-arm legbreak,Test,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
49,2,India,Abhimanyu Easwaran,9716,Right-hand bat,Right-arm legbreak,ODI,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
50,2,India,Abhimanyu Easwaran,9716,Right-hand bat,Right-arm legbreak,T20,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
51,2,India,Abhimanyu Easwaran,9716,Right-hand bat,Right-arm legbreak,IPL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
52,2,India,Karun Nair,8257,Right-hand bat,Right-arm offbreak,Test,8,11,451,660,303,45.1,68.34,1,54,4,2,0,1,1,1,0
53,2,India,Karun Nair,8257,Right-hand bat,Right-arm offbreak,ODI,2,2,46,88,39,23.0,52.28,0,6,0,0,0,0,0,0,0
54,2,India,Karun Nair,8257,Right-hand bat,Right-arm offbreak,T20,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
55,2,India,Karun Nair,8257,Right-hand bat,Right-arm offbreak,IPL,84,76,1694,1286,89,23.86,131.73,5,185,49,5,11,0,0,0,0
56,2,India,Nitish Kumar Reddy,14701,Right-hand bat,Right-arm fast-medium,Test,7,11,300,472,114,30.0,63.56,1,30,8,1,0,1,0,0,0
57,2,India,Nitish Kumar Reddy,14701,Right-hand bat,Right-arm fast-medium,ODI,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
