,Unnamed: 0,teamId,teamName,name,id,battingStyle,bowlingStyle
0,0,2,India,Shubman Gill,11808,Right-hand bat,Right-arm offbreak
1,1,2,India,Yashasvi Jaiswal,13940,Left-hand bat,Right-arm legbreak
2,2,2,India,Sai Sudharsan,13866,Left-hand bat,Right-arm legbreak
3,3,2,India,Rohit Sharma,576,Right-hand bat,Right-arm offbreak
4,4,2,India,Virat Kohli,1413,Right-hand bat,Right-arm medium
5,5,2,India,Suryakumar Yadav,7915,Right-hand bat,Right-arm offbreak
6,6,2,India,Shreyas Iyer,9428,Right-hand bat,Right-arm legbreak
7,7,2,India,Rinku Singh,10896,Left-hand bat,Right-arm offbreak
8,8,2,India,Tilak Varma,14504,Left-hand bat,Right-arm offbreak
9,9,2,India,Ruturaj Gaikwad,11813,Right-hand bat,Right-arm offbreak
10,10,2,India,Rajat Patidar,10636,Right-hand bat,Right-arm offbreak
11,11,2,India,Sarfaraz Khan,9429,Right-hand bat,Right-arm legbreak
12,12,2,India,Abhimanyu Easwaran,9716,Right-hand bat,Right-arm legbreak
13,13,2,India,Karun Nair,8257,Right-hand bat,Right-arm offbreak
14,14,2,India,Nitish Kumar Reddy,14701,Right-hand bat,Right-arm fast-medium
15,15,2,India,Hardik Pandya,9647,Right-hand bat,Right-arm fast-medium
16,16,2,India,Shivam Dube,11195,Left-hand bat,Right-arm medium
17,17,2,India,Abhishek Sharma,12086,Left-hand bat,Left-arm orthodox
18,18,2,India,Ravindra Jadeja,587,Left-hand bat,Left-arm orthodox
19,19,2,India,Shardul Thakur,8683,Right-hand bat,Right-arm fast-medium
20,20,2,India,Washington Sundar,10945,Left-hand bat,Right-arm offbreak
21,21,2,India,Axar Patel,8808,Left-hand bat,Left-arm orthodox
22,22,2,India,Rishabh Pant,10744,Left-hand bat,
23,23,2,India,KL Rahul,8733,Right-hand bat,
24,24,2,India,Dhruv Jurel,14691,Right-hand bat,
25,25,2,India,Sanju Samson,8271,Right-hand bat,
26,26,2,India,Ishan Kishan,10276,Left-hand bat,
27,27,2,India,Mohammed Siraj,10808,Right-hand bat,Right-arm fast
28,28,2,India,Jasprit Bumrah,9311,Right-hand bat,Right-arm fast
29,29,2,India,Prasidh Krishna,10551,Right-hand bat,Right-arm fast
30,30,2,India,Akash Deep,14726,Right-hand bat,Right-arm fast-medium
31,31,2,India,Kuldeep Yadav,8292,Left-hand bat,Left-arm wrist-spin
32,32,2,India,Arshdeep Singh,13217,Left-hand bat,Left-arm fast-medium
33,33,2,India,Harshit Rana,24729,Right-hand bat,Right-arm fast-medium
34,34,2,India,Ravi Bishnoi,14659,Right-hand bat,Right-arm legbreak
35,35,2,India,Mukesh Kumar,10754,Right-hand bat,Right-arm fast-medium
36,36,2,India,Varun Chakaravarthy,12926,Right-hand bat,Right-arm legbreak
37,37,96,Afghanistan,Hashmatullah Shahidi,8277,Left-hand bat,Right-arm offbreak
38,38,96,Afghanistan,Rahmat Shah,8571,Right-hand bat,Right-arm legbreak
39,39,96,Afghanistan,Riaz Hassan,14200,Right-hand bat,
40,40,96,Afghanistan,Sediqullah Atal,14204,Left-hand bat,
41,41,96,Afghanistan,Bahir Shah,15753,Right-hand bat,Right-arm offbreak
42,42,96,Afghanistan,Darwish Rasooli,12069,Right-hand bat,Right-arm offbreak
43,43,96,Afghanistan,Hazratullah Zazai,12068,Left-hand bat,Left-arm orthodox
44,44,96,Afghanistan,Abdul Malik,15752,Right-hand bat,Right-arm offbreak
45,45,96,Afghanistan,Ismat Alam,1449069,Right-hand bat,Right-arm fast-medium
46,46,96,Afghanistan,Gulbadin Naib,8030,Right-hand bat,Right-arm fast-medium
47,47,96,Afghanistan,Azmatullah Omarzai,13214,Right-hand bat,Right-arm fast-medium
48,48,96,Afghanistan,Zahir Shehzad,14281,Right-hand bat,Left-arm orthodox
49,49,96,Afghanistan,Rashid Khan,10738,Right-hand bat,Right-arm legbreak
50,50,96,Afghanistan,Bashir Ahmad,53160,Left-hand bat,Left-arm medium
51,51,96,Afghanistan,Mohammad Nabi,3007,Right-hand bat,Right-arm offbreak
52,52,96,Afghanistan,Nangeyalia Kharote,22956,Left-hand bat,Left-arm orthodox
53,53,96,Afghanistan,Karim Janat,11077,Right-hand bat,Right-arm fast-medium
54,54,96,Afghanistan,Zubaid Akbari,47000,Left-hand bat,Left-arm orthodox
55,55,96,Afghanistan,Ikram Alikhil,11071,Left-hand bat,
56,56,96,Afghanistan,Afsar Zazai,8278,Right-hand bat,
57,57,96,Afghanistan,Mohammad Ishaq,14195,Right-hand bat,
58,58,96,Afghanistan,Rahmanullah Gurbaz,13213,Right-hand bat,
59,59,96,Afghanistan,Zahir Khan,10828,Left-hand bat,Left-arm wrist-spin
60,60,96,Afghanistan,Zia-ur-Rehman Akbar,9858,Right-hand bat,Left-arm orthodox
61,61,96,Afghanistan,Yamin Ahmadzai,9609,Right-hand bat,Right-arm fast-medium
62,62,96,Afghanistan,Naveed Zadran,23106,Right-hand bat,Right-arm medium
63,63,96,Afghanistan,Fareed Ahmad Malik,9848,Left-hand bat,Left-arm fast-medium
64,64,96,Afghanistan,AM Ghazanfar,36501,Right-hand bat,Right-arm offbreak
65,65,96,Afghanistan,Fazalhaq Farooqi,14282,Right-hand bat,Left-arm fast-medium
66,66,96,Afghanistan,Bilal Sami,22861,Right-hand bat,Right-arm medium
67,67,96,Afghanistan,Mujeeb Ur Rahman,12071,Right-hand bat,Right-arm offbreak
68,68,96,Afghanistan,Naveen-ul-Haq,11289,Right-hand bat,Right-arm fast-medium
69,69,96,Afghanistan,Noor Ahmad,15452,Right-hand bat,Left-arm wrist-spin
70,70,27,Ireland,Andrew Balbirnie,6710,Right-hand bat,Right-arm offbreak
71,71,27,Ireland,Cade Carmichael,1451963,Right-hand bat,Right-arm medium
72,72,27,Ireland,Harry Tector,11130,Right-hand bat,Right-arm offbreak
